"1","Configurações","Configurações","L","configuracaoUsuario.php","0","fa fa-cog",NULL,"1","1","1"
"2","Perfil","Perfil do usuário","L","perfil.php","0","fa fa-user",NULL,"1","1","1"
"3","Mudar senha","Mudança de Senha","L","alteraSenha.php","0","fa fa-key",NULL,"1","1","1"
"11","Dicionário","Dicionário de Dados","M","NULL","0","fa fa-book",NULL,"2","0","1"
"12","Atualização","Atualizações do Dicionário","M","NULL","1","fa fa-refresh","11","2","0","1"
"13","Dicionário","Atualizar Dicionário de Dados","L","dicAtualiza.php","2","fa fa-refresh","12","2","0","1"
"14","Trilhas de Auditoria","Atualizar Trilhas de Auditoria","L","dicAtualizaTrilha.php","2","fa fa-bullseye","12","2","0","1"
"15","Alterar","Alteração do Dicionário","L","dicionarioLis.php","1","fa fa-book","11","4","0","1"
"16","Parâmetros","Parâmetros","M","NULL","0","fa fa-cog",NULL,"3","0","1"
"17","Cadastro","Cadastro de Parâmetros","L","parametroLis.php","1","fa fa-file-powerpoint-o","16","1","0","1"
"18","Menu","Menu de Acesso","M","NULL","0","fa fa-th-list",NULL,"2","0","1"
"19","Cadastro","Cadastro dos Menus","L","menuLis.php","1","fa fa-list","18","2","0","1"
"20","Fixo","Menus Fixo","L","menuFixoLis.php","1","fa fa-list-alt","18","2","0","1"
"1033","Parceiros","Parceiros comerciais","M",,"0","fa fa-retweet",NULL,"4","0","1"
"1034","Cadastro","Cadastro de Parceiros","L","parceiroLis.php","1","fa fa-plus","1033","4","0","1"
"1035","Formatura","Formatura","M",,"0","fa fa-graduation-cap",NULL,"4","0","1"
"1036","Cadastro","Cadastro de Formatura","L","formaturaLis.php","1","fa fa-plus","1035","4","0","1"
"1037","Enquetes","Enquetes","M",,"0","fa fa-comments-o",NULL,"1","0","1"
"1038","Criar enquete","Criar enquete","L","enqueteLis.php","1","fa fa-question-circle","1037","1","0","1"
"1039","Perfil de Acesso","Cadastro de Perfil de Acesso","L","perfilLis.php","1","fa fa-group","18","2","0","1"
"1040","Configurações","Configurações do Sistema","M","NULL","0","fa fa-cogs",NULL,"1","0","1"
"1041","Sistema","Configurações do Sistema","L","configuracaoSistema.php","1","fa fa-cog","1040","1","0","1"
"1042","Seções","Cadastro de seções","L","parametroSecaoLis.php","1","fa fa-columns","16","1","0","1"
"1043","Organização","Configurações da organização","L","configuracaoOrganizacao.php","1","fa fa-building-o","1040","1","0","1"
"1044","Financeiro","Financeiro","M",,"0","fa fa-usd",NULL,"5","0","1"
"1045","Configurações","Configurações do Financeiro","M",,"1","fa fa-cog","1044","5","0","1"
"1046","Variáveis","Cadastro de variáveis","L","arquivoVariavelLis.php","2","fa fa-code","1045","5","0","1"
"1047","Layout","Cadastro de Layouts","L","arquivoLayoutLis.php","2",,"1045","5","0","1"
"1048","Cadastros","Cadastros","M",,"1",,"1044","5","0","1"
